Band structure: 
6.3764042843 4.5003787484 
6.4098054210 4.5009237921 
6.4432065578 4.5014305775 
6.4766076945 4.5018987132 
6.5100088313 4.5023278219 
6.5434099681 4.5027175393 
6.5768111048 4.5030675146 
6.6102122416 4.5033774105 
6.6436133783 4.5036469031 
6.6770145151 4.5038756825 
6.7104156518 4.5040634533 
6.7438167886 4.5042099349 
6.7772179254 4.5043148623 
6.8106190621 4.5043779867 
6.8440201989 4.5043990767 
6.9108224724 4.5043143171 
6.9776247459 4.5040591011 
7.0444270194 4.5036322650 
7.1112292929 4.5030329758 
7.1780315664 4.5022607346 
7.2448338400 4.5013153680 
7.3116361135 4.5001970098 
7.3784383870 4.4989060763 
7.4452406605 4.4974432370 
7.5120429340 4.4958093864 
7.5788452075 4.4940056166 
7.6456474810 4.4920331947 
7.7124497546 4.4898935433 
7.7792520281 4.4875882265 
7.8460543016 4.4851189376 
7.9128565751 4.4824874909 
7.9796588486 4.4796958153 
8.0464611221 4.4767459485 
8.1132633957 4.4736400328 
8.1800656692 4.4703803114 
8.2468679427 4.4669691241 
8.3136702162 4.4634089036 
8.3804724897 4.4597021716 
8.4472747632 4.4558515337 
8.5140770367 4.4518596757 
8.5808793103 4.4477293577 
8.6476815838 4.4434634094 
8.7144838573 4.4390647242 
8.7812861308 4.4345362535 
8.8480884043 4.4298810005 
8.9148906778 4.4251020146 
8.9816929513 4.4202023843 
9.0484952249 4.4151852319 
9.1152974984 4.4100537064 
9.1820997719 4.4048109780 
9.2489020454 4.3994602321 
9.3157043189 4.3940046635 
9.3825065924 4.3884474716 
9.4493088659 4.3827918557 
9.5161111395 4.3770410112 
9.5829134130 4.3711981269 
9.6497156865 4.3652663832 
9.7165179600 4.3592489518 
9.7833202335 4.3531489974 
9.8501225070 4.3469696818 
9.9169247805 4.3407141701 
9.9837270541 4.3343856410 
10.0505293276 4.3279873010 
10.1173316011 4.3215224039 
10.1841338746 4.3149942772 
10.2509361481 4.3084063566 
10.3177384216 4.3017622307 
10.3845406952 4.2950656997 
10.4513429687 4.2883208514 
10.5181452422 4.2815321588 
10.5849475157 4.2747046088 
10.6517497892 4.2678438682 
10.7185520627 4.2609565038 
10.7853543362 4.2540502722 
10.8521566098 4.2471345074 
10.9189588833 4.2402206421 
10.9857611568 4.2333229147 
11.0525634303 4.2264593357 
11.1193657038 4.2196530162 
11.1861679773 4.2129339940 
11.2529702508 4.2063417327 
11.3197725244 4.1999284766 
11.3865747979 4.1937635724 
11.4533770714 4.1879385747 
11.5201793449 4.1825721961 
11.5869816184 4.1778127239 
11.6537838919 4.1738336996 
11.7205861654 4.1708182549 
11.7873884390 4.1689315472 
11.8541907125 4.1682888750 

0.0000000000 4.1473919768 
0.0578524659 4.1461957182 
0.1157049318 4.1436281824 
0.1735573977 4.1413204958 
0.2314098636 4.1404433941 
0.2892623295 4.1413252683 
0.3471147954 4.1435017866 
0.4049672613 4.1464346510 
0.4628197272 4.1497989302 
0.5206721930 4.1534228532 
0.5785246589 4.1572133886 
0.6363771248 4.1611169764 
0.6942295907 4.1651007479 
0.7520820566 4.1691432845 
0.8099345225 4.1732298181 
0.8677869884 4.1773496010 
0.9256394543 4.1814943970 
0.9834919202 4.1856575806 
1.0413443861 4.1898335824 
1.0991968520 4.1940175391 
1.1570493179 4.1982050677 
1.2149017838 4.2023921172 
1.2727542497 4.2065748702 
1.3306067156 4.2107496775 
1.3884591815 4.2149130130 
1.4463116474 4.2190614437 
1.5041641133 4.2231916095 
1.5620165791 4.2273002086 
1.6198690450 4.2313839886 
1.6777215109 4.2354397396 
1.7355739768 4.2394642906 
1.7934264427 4.2434545063 
1.8512789086 4.2474072853 
1.9091313745 4.2513195599 
1.9669838404 4.2551882948 
2.0248363063 4.2590104878 
2.0826887722 4.2627831697 
2.1405412381 4.2665034049 
2.1983937040 4.2701682922 
2.2562461699 4.2737749658 
2.3140986358 4.2773205962 
2.3719511017 4.2808023915 
2.4298035676 4.2842175988 
2.4876560335 4.2875635055 
2.5455084993 4.2908374413 
2.6033609652 4.2940367799 
2.6612134311 4.2971589407 
2.7190658970 4.3002013912 
2.7769183629 4.3031616492 
2.8347708288 4.3060372849 
2.8926232947 4.3088259238 
2.9504757606 4.3115252490 
3.0083282265 4.3141330043 
3.0661806924 4.3166469965 
3.1240331583 4.3190650990 
3.1818856242 4.3213852541 
3.2397380901 4.3236054766 
3.2975905560 4.3257238562 
3.3554430219 4.3277385614 
3.4132954878 4.3296478413 
3.4711479537 4.3314500297 
3.5290004196 4.3331435469 
3.5868528854 4.3347269031 
3.6447053513 4.3361987005 
3.7025578172 4.3375576359 
3.7604102831 4.3388025026 
3.8182627490 4.3399321929 
3.8761152149 4.3409456994 
3.9339676808 4.3418421168 
3.9918201467 4.3426206433 
4.0496726126 4.3432805818 
4.1075250785 4.3438213407 
4.1653775444 4.3442424352 
4.2232300103 4.3445434873 
4.2810824762 4.3447242267 
4.3389349421 4.3447844913 
4.3723360788 4.3447130994 
4.4057372156 4.3444995421 
4.4391383523 4.3441456477 
4.4725394891 4.3436543798 
4.5059406259 4.3430297188 
4.5393417626 4.3422765131 
4.5727428994 4.3414003110 
4.6061440361 4.3404071861 
4.6395451729 4.3393035676 
4.6729463096 4.3380960836 
4.7063474464 4.3367914245 
4.7397485832 4.3353962280 
4.7731497199 4.3339169875 
4.8065508567 4.3323599830 
4.8399519934 4.3307312318 
4.8733531302 4.3290364567 
4.9067542669 4.3272810683 
4.9401554037 4.3254701591 
4.9735565405 4.3236085055 
5.0069576772 4.3217005773 
5.0403588140 4.3197505508 
5.0737599507 4.3177623249 
5.1071610875 4.3157395399 
5.1405622242 4.3136855954 
5.1739633610 4.3116036699 
5.2073644978 4.3094967391 
5.2407656345 4.3073675935 
5.2741667713 4.3052188555 
5.3075679080 4.3030529954 
5.3409690448 4.3008723454 
5.3743701815 4.2986791141 
5.4077713183 4.2964753982 
5.4411724551 4.2942631941 
5.4745735918 4.2920444085 
5.5079747286 4.2898208673 
5.5413758653 4.2875943246 
5.5747770021 4.2853664701 
5.6081781389 4.2831389360 
5.6415792756 4.2809133032 
5.6749804124 4.2786911069 
5.7083815491 4.2764738418 
5.7417826859 4.2742629658 
5.7751838226 4.2720599047 
5.8085849594 4.2698660552 
5.8419860962 4.2676827880 
5.8753872329 4.2655114506 
5.9087883697 4.2633533695 
5.9421895064 4.2612098524 
5.9755906432 4.2590821900 
6.0089917799 4.2569716574 
6.0423929167 4.2548795161 
6.0757940535 4.2528070151 
6.1091951902 4.2507553931 
6.1425963270 4.2487258794 
6.1759974637 4.2467196972 
6.2093986005 4.2447380661 
6.2427997372 4.2427822061 
6.2762008740 4.2408533436 
6.3096020108 4.2389527195 
6.3430031475 4.2370816010 
6.3764042843 4.2352412988 
6.4098054210 4.2334331929 
6.4432065578 4.2316587704 
6.4766076945 4.2299196845 
6.5100088313 4.2282178454 
6.5434099681 4.2265555663 
6.5768111048 4.2249358058 
6.6102122416 4.2233625828 
6.6436133783 4.2218417259 
6.6770145151 4.2203822964 
6.7104156518 4.2189994665 
6.7438167886 4.2177207483 
6.7772179254 4.2166002670 
6.8106190621 4.2157511625 
6.8440201989 4.2153982332 
6.9108224724 4.2170864349 
6.9776247459 4.2208646567 
7.0444270194 4.2251009209 
7.1112292929 4.2293217201 
7.1780315664 4.2333984189 
7.2448338400 4.2372845835 
7.3116361135 4.2409592745 
7.3784383870 4.2444114356 
7.4452406605 4.2476345458 
7.5120429340 4.2506244679 
7.5788452075 4.2533784749 
7.6456474810 4.2558947676 
7.7124497546 4.2581722196 
7.7792520281 4.2602102329 
7.8460543016 4.2620086546 
7.9128565751 4.2635677257 
7.9796588486 4.2648880481 
8.0464611221 4.2659705638 
8.1132633957 4.2668165396 
8.1800656692 4.2674275557 
8.2468679427 4.2678054964 
8.3136702162 4.2679525415 
8.3804724897 4.2678711578 
8.4472747632 4.2675640902 
8.5140770367 4.2670343521 
8.5808793103 4.2662852150 
8.6476815838 4.2653201968 
8.7144838573 4.2641430494 
8.7812861308 4.2627577451 
8.8480884043 4.2611684624 
8.9148906778 4.2593795707 
8.9816929513 4.2573956152 
9.0484952249 4.2552213012 
9.1152974984 4.2528614785 
9.1820997719 4.2503211277 
9.2489020454 4.2476053458 
9.3157043189 4.2447193358 
9.3825065924 4.2416683977 
9.4493088659 4.2384579235 
9.5161111395 4.2350933974 
9.5829134130 4.2315804022 
9.6497156865 4.2279246347 
9.7165179600 4.2241319324 
9.7833202335 4.2202083158 
9.8501225070 4.2161600519 
9.9169247805 4.2119937482 
9.9837270541 4.2077164881 
10.0505293276 4.2033360284 
10.1173316011 4.1988610873 
10.1841338746 4.1943017702 
10.2509361481 4.1896702054 
10.3177384216 4.1849815078 
10.3845406952 4.1802552548 
10.4513429687 4.1755177510 
10.5181452422 4.1708054483 
10.5849475157 4.1661698096 
10.6517497892 4.1616831418 
10.7185520627 4.1574422673 
10.7853543362 4.1535615674 
10.8521566098 4.1501448190 
10.9189588833 4.1472429637 
10.9857611568 4.1448345252 
11.0525634303 4.1428502147 
11.1193657038 4.1412135455 
11.1861679773 4.1398658777 
11.2529702508 4.1387739427 
11.3197725244 4.1379306848 
11.3865747979 4.1373578252 
11.4533770714 4.1371153916 
11.5201793449 4.1373221641 
11.5869816184 4.1381819807 
11.6537838919 4.1399592935 
11.7205861654 4.1427341008 
11.7873884390 4.1458423595 
11.8541907125 4.1473919768 

0.0000000000 4.1209972660 
0.0578524659 4.1212532474 
0.1157049318 4.1218016285 
0.1735573977 4.1220181017 
0.2314098636 4.1211279824 
0.2892623295 4.1189019857 
0.3471147954 4.1158361792 
0.4049672613 4.1125694007 
0.4628197272 4.1098651584 
0.5206721930 4.1089575304 
0.5785246589 4.1103534742 
0.6363771248 4.1133746993 
0.6942295907 4.1173246261 
0.7520820566 4.1217860892 
0.8099345225 4.1265358939 
0.8677869884 4.1314529488 
0.9256394543 4.1364677504 
0.9834919202 4.1415377952 
1.0413443861 4.1466355210 
1.0991968520 4.1517421144 
1.1570493179 4.1568441501 
1.2149017838 4.1619316671 
1.2727542497 4.1669970100 
1.3306067156 4.1720341022 
1.3884591815 4.1770379690 
1.4463116474 4.1820044170 
1.5041641133 4.1869298105 
1.5620165791 4.1918109123 
1.6198690450 4.1966447689 
1.6777215109 4.2014286257 
1.7355739768 4.2061598646 
1.7934264427 4.2108359570 
1.8512789086 4.2154544297 
1.9091313745 4.2200128392 
1.9669838404 4.2245087539 
2.0248363063 4.2289397412 
2.0826887722 4.2333033595 
2.1405412381 4.2375971535 
2.1983937040 4.2418186523 
2.2562461699 4.2459653700 
2.3140986358 4.2500348077 
2.3719511017 4.2540244571 
2.4298035676 4.2579318051 
2.4876560335 4.2617543390 
2.5455084993 4.2654895527 
2.6033609652 4.2691349528 
2.6612134311 4.2726880647 
2.7190658970 4.2761464397 
2.7769183629 4.2795076607 
2.8347708288 4.2827693489 
2.8926232947 4.2859291696 
2.9504757606 4.2889848378 
3.0083282265 4.2919341236 
3.0661806924 4.2947748574 
3.1240331583 4.2975049341 
3.1818856242 4.3001223177 
3.2397380901 4.3026250451 
3.2975905560 4.3050112294 
3.3554430219 4.3072790634 
3.4132954878 4.3094268227 
3.4711479537 4.3114528676 
3.5290004196 4.3133556463 
3.5868528854 4.3151336967 
3.6447053513 4.3167856484 
3.7025578172 4.3183102247 
3.7604102831 4.3197062442 
3.8182627490 4.3209726224 
3.8761152149 4.3221083732 
3.9339676808 4.3231126104 
3.9918201467 4.3239845488 
4.0496726126 4.3247235053 
4.1075250785 4.3253289001 
4.1653775444 4.3258002576 
4.2232300103 4.3261372069 
4.2810824762 4.3263394827 
4.3389349421 4.3264069256 
4.3723360788 4.3263530014 
4.4057372156 4.3261914948 
4.4391383523 4.3259231987 
4.4725394891 4.3255494144 
4.5059406259 4.3250719226 
4.5393417626 4.3244929457 
4.5727428994 4.3238151019 
4.6061440361 4.3230413541 
4.6395451729 4.3221749565 
4.6729463096 4.3212193991 
4.7063474464 4.3201783544 
4.7397485832 4.3190556261 
4.7731497199 4.3178551013 
4.8065508567 4.3165807085 
4.8399519934 4.3152363796 
4.8733531302 4.3138260183 
4.9067542669 4.3123534730 
4.9401554037 4.3108225159 
4.9735565405 4.3092368260 
5.0069576772 4.3075999766 
5.0403588140 4.3059154271 
5.0737599507 4.3041865175 
5.1071610875 4.3024164656 
5.1405622242 4.3006083671 
5.1739633610 4.2987651970 
5.2073644978 4.2968898128 
5.2407656345 4.2949849583 
5.2741667713 4.2930532688 
5.3075679080 4.2910972766 
5.3409690448 4.2891194168 
5.3743701815 4.2871220335 
5.4077713183 4.2851073858 
5.4411724551 4.2830776539 
5.4745735918 4.2810349452 
5.5079747286 4.2789812996 
5.5413758653 4.2769186957 
5.5747770021 4.2748490550 
5.6081781389 4.2727742475 
5.6415792756 4.2706960960 
5.6749804124 4.2686163798 
5.7083815491 4.2665368390 
5.7417826859 4.2644591775 
5.7751838226 4.2623850664 
5.8085849594 4.2603161460 
5.8419860962 4.2582540285 
5.8753872329 4.2562002996 
5.9087883697 4.2541565202 
5.9421895064 4.2521242271 
5.9755906432 4.2501049343 
6.0089917799 4.2481001325 
6.0423929167 4.2461112901 
6.0757940535 4.2441398520 
6.1091951902 4.2421872393 
6.1425963270 4.2402548482 
6.1759974637 4.2383440487 
6.2093986005 4.2364561831 
6.2427997372 4.2345925642 
6.2762008740 4.2327544736 
6.3096020108 4.2309431601 
6.3430031475 4.2291598379 
6.3764042843 4.2274056861 
6.4098054210 4.2256818488 
6.4432065578 4.2239894368 
6.4766076945 4.2223295338 
6.5100088313 4.2207032065 
6.5434099681 4.2191115265 
6.5768111048 4.2175556101 
6.6102122416 4.2160366970 
6.6436133783 4.2145563101 
6.6770145151 4.2131166102 
6.7104156518 4.2117212722 
6.7438167886 4.2103780360 
6.7772179254 4.2091081157 
6.8106190621 4.2079954092 
6.8440201989 4.2074596228 
6.9108224724 4.2074427420 
6.9776247459 4.2059432223 
7.0444270194 4.2039628013 
7.1112292929 4.2019240138 
7.1780315664 4.1999394075 
7.2448338400 4.1980452543 
7.3116361135 4.1962537007 
7.3784383870 4.1945672970 
7.4452406605 4.1929840780 
7.5120429340 4.1914996939 
7.5788452075 4.1901084515 
7.6456474810 4.1888038944 
7.7124497546 4.1875791634 
7.7792520281 4.1864272434 
7.8460543016 4.1853411472 
7.9128565751 4.1843140672 
7.9796588486 4.1833395194 
8.0464611221 4.1824115092 
8.1132633957 4.1815247665 
8.1800656692 4.1806751365 
8.2468679427 4.1798602665 
8.3136702162 4.1790807005 
8.3804724897 4.1783407690 
8.4472747632 4.1776462869 
8.5140770367 4.1769966970 
8.5808793103 4.1763810709 
8.6476815838 4.1757847997 
8.7144838573 4.1751956686 
8.7812861308 4.1746045600 
8.8480884043 4.1740043801 
8.9148906778 4.1733891704 
8.9816929513 4.1727536203 
9.0484952249 4.1720928427 
9.1152974984 4.1714022977 
9.1820997719 4.1706777961 
9.2489020454 4.1699155447 
